id,job_type,status,shipment_id,package_id,created_at,updated_at,completed_at,progress_current_step,progress_steps_complete,progress_steps_total,progress_steps_json,result_json,error_code,error_message
job_7x9k2md,shipment_dispatch,complete,shp_7x9k2m,,3002-06-14T21:40:00Z,3002-06-14T22:00:00Z,3002-06-14T22:00:00Z,authorize_departure,5,5,"[{""name"":""validate_manifest"",""status"":""complete""},{""name"":""reserve_crew"",""status"":""complete""},{""name"":""calculate_route"",""status"":""complete""},{""name"":""clear_customs"",""status"":""complete""},{""name"":""authorize_departure"",""status"":""complete""}]","{""shipment_id"":""shp_7x9k2m"",""route_id"":""rte_4a2f9"",""crew_assigned"":[""crw_leela1"",""crw_fry01"",""crw_zoid01""],""estimated_delivery"":""3002-07-02T00:00:00Z"",""fuel_cost_doop_dollars"":48000,""dark_matter_units_required"":12}",,
job_1q7z4td,shipment_dispatch,running,shp_1q7z4t,,3002-06-30T14:30:00Z,3002-06-30T14:52:00Z,,clear_customs,3,5,"[{""name"":""validate_manifest"",""status"":""complete""},{""name"":""reserve_crew"",""status"":""complete""},{""name"":""calculate_route"",""status"":""complete""},{""name"":""clear_customs"",""status"":""running""},{""name"":""authorize_departure"",""status"":""pending""}]",,,
job_5z8q3vd,shipment_dispatch,failed,shp_5z8q3v,,3002-07-03T15:10:00Z,3002-07-03T15:14:00Z,3002-07-03T15:14:00Z,clear_customs,2,5,"[{""name"":""validate_manifest"",""status"":""complete""},{""name"":""reserve_crew"",""status"":""complete""},{""name"":""calculate_route"",""status"":""running""},{""name"":""clear_customs"",""status"":""pending""},{""name"":""authorize_departure"",""status"":""pending""}]",,PERMIT_REQUIRED,Hazard permit has not been issued for contraband class B.
job_2b9n5wd,shipment_dispatch,pending,shp_2b9n5w,,3002-07-04T10:06:00Z,3002-07-04T10:06:00Z,,,,,,,,
job_1a5t7zi,package_inspection,complete,shp_1a5t7z,pkg_00401,3002-06-30T10:00:00Z,3002-06-30T11:15:00Z,3002-06-30T11:15:00Z,file_report,4,4,"[{""name"":""scan_container"",""status"":""complete""},{""name"":""assay_contents"",""status"":""complete""},{""name"":""verify_certification"",""status"":""complete""},{""name"":""file_report"",""status"":""complete""}]","{""package_id"":""pkg_00401"",""containment_verified"":true,""containment_level"":""BSL-4"",""inspector"":""crw_zoid01"",""findings"":""Seals intact. Viability window 48h confirmed."",""clearance"":""approved""}",,
job_4y7t3zi,package_inspection,failed,shp_4y7t3z,pkg_01701,3002-07-03T15:00:00Z,3002-07-03T16:00:00Z,3002-07-03T16:00:00Z,verify_certification,2,4,"[{""name"":""scan_container"",""status"":""complete""},{""name"":""assay_contents"",""status"":""complete""},{""name"":""verify_certification"",""status"":""running""},{""name"":""file_report"",""status"":""pending""}]",,DECLASSIFICATION_ORDER_MISSING,Contraband class A requires a declassification order id; none present.
job_6h3n8wr,route_calculation,complete,shp_6h3n8w,,3002-06-20T04:40:00Z,3002-06-20T04:58:00Z,3002-06-20T04:58:00Z,commit_route,4,4,"[{""name"":""survey_hazards"",""status"":""complete""},{""name"":""plot_waypoints"",""status"":""complete""},{""name"":""estimate_fuel"",""status"":""complete""},{""name"":""commit_route"",""status"":""complete""}]","{""route_id"":""rte_9f1a7"",""waypoints"":[""DOOP customs buoy"",""Sector 9 checkpoint"",""Neptune approach""],""hazards_avoided"":[""haz_pirate_4471""],""fuel_cost_doop_dollars"":96000,""transit_days"":7}",,
job_8p1r5cr,route_calculation,failed,shp_8p1r5c,,3002-03-20T08:00:00Z,3002-03-20T08:06:00Z,3002-03-20T08:06:00Z,plot_waypoints,1,4,"[{""name"":""survey_hazards"",""status"":""complete""},{""name"":""plot_waypoints"",""status"":""running""},{""name"":""estimate_fuel"",""status"":""pending""},{""name"":""commit_route"",""status"":""pending""}]",,NO_VIABLE_ROUTE,All candidate routes intersect an active hazard zone.
job_1p7c4nr,route_calculation,running,shp_1p7c4n,,3002-07-02T12:00:00Z,3002-07-02T12:31:00Z,,survey_hazards,1,4,"[{""name"":""survey_hazards"",""status"":""complete""},{""name"":""plot_waypoints"",""status"":""running""},{""name"":""estimate_fuel"",""status"":""pending""},{""name"":""commit_route"",""status"":""pending""}]",,,
job_5z8q3vp,permit_review,running,shp_5z8q3v,,3002-07-03T14:20:00Z,3002-07-04T09:00:00Z,,committee_vote,2,4,"[{""name"":""intake_application"",""status"":""complete""},{""name"":""regulatory_review"",""status"":""complete""},{""name"":""committee_vote"",""status"":""running""},{""name"":""issue_decision"",""status"":""pending""}]",,,
