id,status,priority,created_at,updated_at,dispatched_at,estimated_delivery,origin_planet_id,origin_city,origin_continent,destination_id,route_id,permit_id,customs_status,package_count,declared_value_doop_dollars,insurance_value_doop_dollars,special_instructions,etag
shp_7x9k2m,in_transit,express,3002-06-14T08:12:00Z,3002-06-15T09:00:00Z,3002-06-14T22:00:00Z,3002-07-02T00:00:00Z,plnt_earth,New New York,North America,dst_omicron_persei_8,rte_4a2f9,prm_88213,approved,3,120000,150000,Do not open under any circumstances,"W/""a1b2c3"""
shp_3f8p1q,delivered,standard,3002-05-02T11:30:00Z,3002-05-20T14:22:00Z,3002-05-03T06:00:00Z,3002-05-19T00:00:00Z,plnt_earth,New New York,North America,dst_decapod_10,rte_1c9e4,prm_88190,approved,1,4500,0,,"W/""d4e5f6"""
shp_9m2v4k,draft,standard,3002-07-01T16:45:00Z,3002-07-01T16:45:00Z,,,plnt_earth,New New York,North America,dst_amphibios_9,,,not_started,0,0,0,,"W/""1a2b3c"""
shp_1a5t7z,customs_review,urgent,3002-06-28T09:00:00Z,3002-06-30T11:15:00Z,,3002-07-14T00:00:00Z,plnt_earth,Little Neptune,North America,dst_chapek_9,rte_7b3d1,prm_88401,under_review,2,89000,89000,Contains live specimens. Customs hold expected.,"W/""4d5e6f"""
shp_6h3n8w,in_transit,doop_priority,3002-06-20T04:30:00Z,3002-06-25T08:00:00Z,3002-06-20T18:00:00Z,3002-06-27T00:00:00Z,plnt_earth,New New York,North America,dst_neptune,rte_9f1a7,prm_88455,approved,5,2400000,3000000,DOOP military escort assigned. Do not deviate from route.,"W/""7a8b9c"""
shp_2k9j4d,delivered,express,3002-04-11T13:20:00Z,3002-04-29T17:50:00Z,3002-04-12T07:30:00Z,3002-04-28T00:00:00Z,plnt_earth,New New York,North America,dst_mars,rte_2e8c3,prm_87990,approved,2,15600,20000,Fragile. Handle with all six hands.,"W/""b1c2d3"""
shp_8p1r5c,lost_in_space,standard,3002-03-08T10:00:00Z,3002-04-02T00:00:00Z,3002-03-09T05:00:00Z,3002-03-30T00:00:00Z,plnt_earth,New New York,North America,dst_wormulon,rte_5d2b8,prm_87801,approved,1,7800,50000,Last known position near the Tempus Nebula.,"W/""e4f5a6"""
shp_4w7m2b,crew_assigned,express,3002-07-02T08:00:00Z,3002-07-03T09:30:00Z,,3002-07-20T00:00:00Z,plnt_earth,New New York,North America,dst_trisol,rte_3a9e2,prm_88510,approved,2,34000,40000,Liquid inhabitants. Do not spill.,"W/""c7d8e9"""
shp_5z8q3v,permit_pending,urgent,3002-07-03T14:10:00Z,3002-07-03T14:10:00Z,,,plnt_earth,New New York,North America,dst_cannibalon,,,declared,1,999000,1200000,Awaiting DOOP hazard permit review.,"W/""f1a2b3"""
shp_0c6y1n,attempted,standard,3002-06-01T07:25:00Z,3002-06-22T19:00:00Z,3002-06-02T06:00:00Z,3002-06-21T00:00:00Z,plnt_earth,New New York,North America,dst_nintenduu_64,rte_8c4f1,prm_88102,approved,1,2300,0,Recipient was not home. Second attempt scheduled.,"W/""a4b5c6"""
shp_7t4k9m,failed,express,3002-05-18T12:00:00Z,3002-06-04T08:45:00Z,3002-05-19T04:00:00Z,3002-06-02T00:00:00Z,plnt_earth,New New York,North America,dst_tarantulon_6,rte_6b1d9,prm_88055,approved,3,45000,60000,Cargo rejected at destination customs.,"W/""d7e8f9"""
shp_3n8w5p,returned,standard,3002-04-22T15:30:00Z,3002-05-30T10:00:00Z,3002-04-23T07:00:00Z,3002-05-15T00:00:00Z,plnt_earth,New New York,North America,dst_osiris_4,rte_4f7a2,prm_87920,rejected,1,6700,0,Return to sender. Refused on arrival.,"W/""b2c3d4"""
shp_9v2b6h,cancelled,standard,3002-06-25T11:00:00Z,3002-06-26T09:15:00Z,,,plnt_earth,New New York,North America,dst_spheron_1,,,not_started,0,0,0,Customer cancelled before dispatch.,"W/""e5f6a7"""
shp_1q7z4t,in_transit,doop_priority,3002-06-30T03:00:00Z,3002-07-04T06:20:00Z,3002-06-30T15:00:00Z,3002-07-11T00:00:00Z,plnt_earth,New New York,North America,dst_eternium,rte_1b8e5,prm_88499,approved,4,5600000,7000000,Temporal cargo. Chronoton shielding verified.,"W/""c8d9e1"""
shp_6m3c8k,delivered,urgent,3002-05-25T09:40:00Z,3002-06-08T13:00:00Z,3002-05-25T22:00:00Z,3002-06-07T00:00:00Z,plnt_earth,New New York,North America,dst_omicron_persei_8,rte_4a2f9,prm_88150,approved,2,78000,90000,,"W/""f2a3b4"""
